round,gp,pred_p1,actual_p1,p1_hit,top10_hits,top10_hit_rate,pred_top10,actual_top10
1,Australian Grand Prix,PIA,NOR,0,6,0.6,"PIA,NOR,VER,LEC,GAS,HAM,ALB,DOO,HAD,TSU","NOR,VER,RUS,ANT,ALB,STR,HUL,LEC,PIA,HAM"
2,Chinese Grand Prix,RUS,PIA,0,6,0.6,"RUS,PIA,NOR,HAM,HAD,LEC,VER,ANT,OCO,TSU","PIA,NOR,RUS,VER,OCO,ANT,ALB,BEA,STR,SAI"
3,Japanese Grand Prix,NOR,VER,0,9,0.9,"NOR,VER,PIA,RUS,LEC,HAD,HAM,ANT,ALB,LAW","VER,NOR,PIA,LEC,RUS,ANT,HAM,HAD,ALB,BEA"
4,Bahrain Grand Prix,PIA,PIA,1,7,0.7,"PIA,RUS,NOR,ANT,VER,GAS,SAI,HAM,TSU,HAD","PIA,RUS,NOR,LEC,HAM,VER,GAS,OCO,TSU,BEA"
5,Saudi Arabian Grand Prix,HAM,PIA,0,9,0.9,"HAM,ANT,PIA,NOR,SAI,VER,RUS,LEC,TSU,ALB","PIA,VER,LEC,NOR,RUS,ANT,HAM,SAI,ALB,HAD"
6,Miami Grand Prix,VER,PIA,0,9,0.9,"VER,NOR,PIA,ANT,RUS,SAI,ALB,OCO,LEC,TSU","PIA,NOR,RUS,VER,ALB,ANT,LEC,HAM,SAI,TSU"
7,Emilia Romagna Grand Prix,PIA,VER,0,9,0.9,"PIA,ALB,NOR,VER,SAI,HAM,STR,HAD,LEC,RUS","VER,NOR,PIA,HAM,ALB,LEC,RUS,SAI,HAD,TSU"
8,Monaco Grand Prix,VER,NOR,0,6,0.6,"VER,HAM,ALO,RUS,NOR,OCO,LEC,PIA,TSU,ANT","NOR,LEC,PIA,VER,HAM,HAD,OCO,LAW,ALB,SAI"
9,Spanish Grand Prix,VER,PIA,0,9,0.9,"VER,PIA,NOR,RUS,LEC,HAM,ANT,GAS,HAD,ALO","PIA,NOR,LEC,RUS,HUL,HAM,HAD,GAS,ALO,VER"
10,Canadian Grand Prix,ALB,RUS,0,5,0.5,"ALB,PIA,NOR,COL,VER,RUS,TSU,ANT,OCO,HAD","RUS,VER,ANT,PIA,LEC,HAM,ALO,HUL,OCO,SAI"
11,Austrian Grand Prix,NOR,NOR,1,7,0.7,"NOR,LEC,ALO,PIA,RUS,VER,HAM,BOR,ANT,BEA","NOR,PIA,LEC,HAM,RUS,LAW,ALO,BOR,HUL,OCO"
12,British Grand Prix,NOR,NOR,1,7,0.7,"NOR,PIA,VER,RUS,HUL,TSU,ANT,ALB,ALO,LEC","NOR,PIA,HUL,HAM,VER,GAS,STR,ALB,ALO,RUS"
13,Belgian Grand Prix,NOR,PIA,0,7,0.7,"NOR,PIA,VER,LEC,TSU,ALB,RUS,HAD,LAW,OCO","PIA,NOR,LEC,VER,RUS,ALB,HAM,LAW,BOR,GAS"
14,Hungarian Grand Prix,STR,NOR,0,9,0.9,"STR,PIA,NOR,LEC,HAD,ALO,LAW,VER,RUS,BOR","NOR,PIA,RUS,LEC,ALO,BOR,STR,LAW,VER,ANT"
15,Dutch Grand Prix,PIA,PIA,1,4,0.4,"PIA,NOR,VER,RUS,ALO,HAM,LEC,BOR,LAW,ANT","PIA,VER,HAD,RUS,ALB,BEA,STR,ALO,TSU,OCO"
16,Italian Grand Prix,VER,VER,1,8,0.8,"VER,PIA,NOR,SAI,BOR,TSU,LEC,HAM,RUS,ALB","VER,NOR,PIA,LEC,RUS,HAM,ALB,BOR,ANT,HAD"
17,Azerbaijan Grand Prix,HAD,VER,0,9,0.9,"HAD,TSU,HAM,SAI,OCO,VER,LAW,LEC,RUS,ANT","VER,RUS,SAI,ANT,LAW,TSU,NOR,HAM,LEC,HAD"
18,Singapore Grand Prix,PIA,RUS,0,6,0.6,"PIA,ALB,SAI,NOR,OCO,VER,HUL,HAD,ALO,HAM","RUS,VER,NOR,PIA,ANT,LEC,ALO,HAM,BEA,SAI"
19,United States Grand Prix,LEC,VER,0,7,0.7,"LEC,NOR,VER,HAM,ANT,RUS,PIA,SAI,BEA,LAW","VER,NOR,LEC,HAM,PIA,RUS,TSU,HUL,BEA,ALO"
20,Mexico City Grand Prix,HAM,NOR,0,7,0.7,"HAM,PIA,SAI,VER,BEA,RUS,LEC,ANT,TSU,HAD","NOR,LEC,VER,BEA,PIA,ANT,RUS,HAM,OCO,BOR"
21,São Paulo Grand Prix,GAS,NOR,0,6,0.6,"GAS,COL,BEA,LAW,NOR,PIA,HUL,STR,ALO,OCO","NOR,ANT,VER,RUS,PIA,BEA,LAW,HAD,HUL,GAS"
22,Las Vegas Grand Prix,NOR,VER,0,5,0.5,"NOR,SAI,ALO,HAD,BEA,LAW,RUS,GAS,PIA,VER","VER,RUS,ANT,LEC,SAI,HAD,HUL,HAM,OCO,BEA"
23,Qatar Grand Prix,PIA,VER,0,8,0.8,"PIA,RUS,NOR,VER,ANT,HAD,SAI,HUL,ALO,LAW","VER,PIA,SAI,NOR,ANT,RUS,ALO,LEC,LAW,TSU"
24,Abu Dhabi Grand Prix,VER,VER,1,6,0.6,"VER,BOR,RUS,NOR,ALO,LEC,ANT,STR,SAI,HAD","VER,PIA,NOR,LEC,RUS,ALO,OCO,HAM,HUL,STR"
